measure_id,blind_id,trial_number,trial_id,condition,condition_label,claim_id,component_id,category,preservation_score,distortion_score
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T14,M02-T14-C02,affected_groups,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T14,M02-T14-C03,affected_groups,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T14,M02-T14-C04,affected_groups,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T15,M02-T15-C01,fiscal_effect,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T15,M02-T15-C02,fiscal_effect,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T16,M02-T16-C01,fiscal_cost,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T16,M02-T16-C02,fiscal_cost,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T17,M02-T17-C01,fiscal_cost,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T17,M02-T17-C02,fiscal_cost,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T17,M02-T17-C03,fiscal_cost,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T17,M02-T17-C04,fiscal_cost,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T17,M02-T17-C05,fiscal_cost,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T18,M02-T18-C01,implementation_cost,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T19,M02-T19-C01,intended_benefit,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T19,M02-T19-C02,intended_benefit,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T20,M02-T20-C01,baseline_context,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T20,M02-T20-C02,baseline_context,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T21,M02-T21-C01,baseline_context,0,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T21,M02-T21-C02,baseline_context,0,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T21,M02-T21-C03,baseline_context,0,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T21,M02-T21-C04,baseline_context,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T22,M02-T22-C01,intended_benefit,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T22,M02-T22-C02,intended_benefit,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T22,M02-T22-C03,intended_benefit,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T22,M02-T22-C04,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T01,M02-T01-C01,baseline_context,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T01,M02-T01-C02,baseline_context,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T01,M02-T01-C03,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T02,M02-T02-C01,affected_groups,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T02,M02-T02-C02,affected_groups,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T03,M02-T03-C01,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T03,M02-T03-C02,baseline_context,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T03,M02-T03-C03,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T03,M02-T03-C04,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T04,M02-T04-C01,policy_change,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T04,M02-T04-C02,policy_change,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T04,M02-T04-C03,policy_change,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T05,M02-T05-C01,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T05,M02-T05-C02,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T05,M02-T05-C03,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T05,M02-T05-C04,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T06,M02-T06-C01,distributional_effect,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T06,M02-T06-C02,distributional_effect,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T06,M02-T06-C03,distributional_effect,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T06,M02-T06-C04,distributional_effect,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T06,M02-T06-C05,distributional_effect,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T07,M02-T07-C01,policy_change,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T07,M02-T07-C02,policy_change,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T08,M02-T08-C01,accountability,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T09,M02-T09-C01,baseline_context,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T09,M02-T09-C02,baseline_context,0,1
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T10,M02-T10-C01,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T10,M02-T10-C02,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T10,M02-T10-C03,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T10,M02-T10-C04,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T11,M02-T11-C01,fiscal_mechanism,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T11,M02-T11-C02,fiscal_mechanism,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T12,M02-T12-C01,funding_allocation,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T12,M02-T12-C02,funding_allocation,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T12,M02-T12-C03,funding_allocation,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T13,M02-T13-C01,funding_allocation,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T13,M02-T13-C02,funding_allocation,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T13,M02-T13-C03,funding_allocation,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T13,M02-T13-C04,funding_allocation,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T14,M02-T14-C01,affected_groups,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T14,M02-T14-C02,affected_groups,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T14,M02-T14-C03,affected_groups,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T14,M02-T14-C04,affected_groups,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T15,M02-T15-C01,fiscal_effect,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T15,M02-T15-C02,fiscal_effect,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T16,M02-T16-C01,fiscal_cost,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T16,M02-T16-C02,fiscal_cost,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T17,M02-T17-C01,fiscal_cost,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T17,M02-T17-C02,fiscal_cost,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T17,M02-T17-C03,fiscal_cost,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T17,M02-T17-C04,fiscal_cost,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T17,M02-T17-C05,fiscal_cost,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T18,M02-T18-C01,implementation_cost,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T19,M02-T19-C01,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T19,M02-T19-C02,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T20,M02-T20-C01,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T20,M02-T20-C02,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T21,M02-T21-C01,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T21,M02-T21-C02,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T21,M02-T21-C03,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T21,M02-T21-C04,baseline_context,0,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T22,M02-T22-C01,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T22,M02-T22-C02,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T22,M02-T22-C03,intended_benefit,1,0
M02,M02-B005,1,M02-trial01,single_agent,Single agent,M02-T22,M02-T22-C04,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T01,M02-T01-C01,baseline_context,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T01,M02-T01-C02,baseline_context,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T01,M02-T01-C03,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T02,M02-T02-C01,affected_groups,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T02,M02-T02-C02,affected_groups,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T03,M02-T03-C01,baseline_context,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T03,M02-T03-C02,baseline_context,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T03,M02-T03-C03,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T03,M02-T03-C04,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T04,M02-T04-C01,policy_change,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T04,M02-T04-C02,policy_change,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T04,M02-T04-C03,policy_change,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T05,M02-T05-C01,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T05,M02-T05-C02,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T05,M02-T05-C03,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T05,M02-T05-C04,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T06,M02-T06-C01,distributional_effect,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T06,M02-T06-C02,distributional_effect,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T06,M02-T06-C03,distributional_effect,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T06,M02-T06-C04,distributional_effect,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T06,M02-T06-C05,distributional_effect,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T07,M02-T07-C01,policy_change,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T07,M02-T07-C02,policy_change,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T08,M02-T08-C01,accountability,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T09,M02-T09-C01,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T09,M02-T09-C02,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T10,M02-T10-C01,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T10,M02-T10-C02,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T10,M02-T10-C03,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T10,M02-T10-C04,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T11,M02-T11-C01,fiscal_mechanism,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T11,M02-T11-C02,fiscal_mechanism,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T12,M02-T12-C01,funding_allocation,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T12,M02-T12-C02,funding_allocation,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T12,M02-T12-C03,funding_allocation,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T13,M02-T13-C01,funding_allocation,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T13,M02-T13-C02,funding_allocation,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T13,M02-T13-C03,funding_allocation,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T13,M02-T13-C04,funding_allocation,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T14,M02-T14-C01,affected_groups,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T14,M02-T14-C02,affected_groups,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T14,M02-T14-C03,affected_groups,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T14,M02-T14-C04,affected_groups,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T15,M02-T15-C01,fiscal_effect,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T15,M02-T15-C02,fiscal_effect,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T16,M02-T16-C01,fiscal_cost,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T16,M02-T16-C02,fiscal_cost,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T17,M02-T17-C01,fiscal_cost,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T17,M02-T17-C02,fiscal_cost,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T17,M02-T17-C03,fiscal_cost,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T17,M02-T17-C04,fiscal_cost,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T17,M02-T17-C05,fiscal_cost,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T18,M02-T18-C01,implementation_cost,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T19,M02-T19-C01,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T19,M02-T19-C02,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T20,M02-T20-C01,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T20,M02-T20-C02,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T21,M02-T21-C01,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T21,M02-T21-C02,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T21,M02-T21-C03,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T21,M02-T21-C04,baseline_context,0,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T22,M02-T22-C01,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T22,M02-T22-C02,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T22,M02-T22-C03,intended_benefit,1,0
M02,M02-B006,3,M02-trial03,single_agent,Single agent,M02-T22,M02-T22-C04,intended_benefit,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T01,M02-T01-C01,baseline_context,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T01,M02-T01-C02,baseline_context,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T01,M02-T01-C03,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T02,M02-T02-C01,affected_groups,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T02,M02-T02-C02,affected_groups,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T03,M02-T03-C01,baseline_context,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T03,M02-T03-C02,baseline_context,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T03,M02-T03-C03,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T03,M02-T03-C04,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T04,M02-T04-C01,policy_change,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T04,M02-T04-C02,policy_change,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T04,M02-T04-C03,policy_change,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T05,M02-T05-C01,intended_benefit,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T05,M02-T05-C02,intended_benefit,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T05,M02-T05-C03,intended_benefit,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T05,M02-T05-C04,intended_benefit,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T06,M02-T06-C01,distributional_effect,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T06,M02-T06-C02,distributional_effect,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T06,M02-T06-C03,distributional_effect,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T06,M02-T06-C04,distributional_effect,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T06,M02-T06-C05,distributional_effect,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T07,M02-T07-C01,policy_change,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T07,M02-T07-C02,policy_change,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T08,M02-T08-C01,accountability,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T09,M02-T09-C01,baseline_context,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T09,M02-T09-C02,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T10,M02-T10-C01,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T10,M02-T10-C02,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T10,M02-T10-C03,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T10,M02-T10-C04,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T11,M02-T11-C01,fiscal_mechanism,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T11,M02-T11-C02,fiscal_mechanism,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T12,M02-T12-C01,funding_allocation,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T12,M02-T12-C02,funding_allocation,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T12,M02-T12-C03,funding_allocation,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T13,M02-T13-C01,funding_allocation,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T13,M02-T13-C02,funding_allocation,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T13,M02-T13-C03,funding_allocation,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T13,M02-T13-C04,funding_allocation,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T14,M02-T14-C01,affected_groups,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T14,M02-T14-C02,affected_groups,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T14,M02-T14-C03,affected_groups,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T14,M02-T14-C04,affected_groups,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T15,M02-T15-C01,fiscal_effect,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T15,M02-T15-C02,fiscal_effect,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T16,M02-T16-C01,fiscal_cost,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T16,M02-T16-C02,fiscal_cost,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T17,M02-T17-C01,fiscal_cost,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T17,M02-T17-C02,fiscal_cost,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T17,M02-T17-C03,fiscal_cost,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T17,M02-T17-C04,fiscal_cost,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T17,M02-T17-C05,fiscal_cost,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T18,M02-T18-C01,implementation_cost,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T19,M02-T19-C01,intended_benefit,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T19,M02-T19-C02,intended_benefit,1,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T20,M02-T20-C01,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T20,M02-T20-C02,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T21,M02-T21-C01,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T21,M02-T21-C02,baseline_context,0,0
M02,M02-B007,2,M02-trial02,single_agent,Single agent,M02-T21,M02-T21-C03,baseline_context,0,0
